,rec_source,data_provider,country_name,country_iso_code,validity_date,attribute,value,unit
82,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,New Zealand,NZL,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",40176.74821086499,kt CO₂ e
83,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Norway,NOR,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",35419.45178152332,kt CO₂ e
84,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Poland,POL,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",440522.16681995854,kt CO₂ e
85,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Portugal,PRT,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",61878.82865607208,kt CO₂ e
86,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Romania,ROU,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",178963.7886930122,kt CO₂ e
87,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Russian Federation,RUS,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",2960798.17024135,kt CO₂ e
88,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Slovakia,SVK,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",53529.41099384319,kt CO₂ e
89,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Slovenia,SVN,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",12451.761173046576,kt CO₂ e
90,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Spain,ESP,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",262552.33322954684,kt CO₂ e
91,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Sweden,SWE,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",35612.34822777735,kt CO₂ e
92,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Switzerland,CHE,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",50374.344474126585,kt CO₂ e
93,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Turkey,TUR,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",170238.97859394393,kt CO₂ e
94,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Ukraine,UKR,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",793555.1656454742,kt CO₂ e
95,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,United Kingdom of Great Britain and Northern Ireland,GBR,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",821544.068129783,kt CO₂ e
96,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,United States of America,USA,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",5475013.303252424,kt CO₂ e
97,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,,not found,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",,kt CO₂ e
98,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Source: UNFCCC GHG Data Interface,not found,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",,kt CO₂ e
99,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Note 1: The reporting and review requirements for GHG inventories are different for Annex I and non-Annex I Parties. The definition format of data for emissions/removals from the forestry sector is different for Annex I and non-Annex I Parties.,not found,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",,kt CO₂ e
100,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Note 2: Base year data in the data interface relate to the base year under the Climate Change Convention (UNFCCC).  The base year under the Convention is defined slightly different than the base year under the Kyoto Protocol.  An exception is made for European Union (KP) whereby the base year under the Kyoto Protocol is displayed.,not found,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",,kt CO₂ e
101,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,"Note 3: – means ""No data available""",not found,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",,kt CO₂ e
102,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,"Note 4: Data displayed on the data interface are ""as received"" from Parties. The publication of Party submissions on this website does not imply the expression of any opinion whatsoever on the part of the UNFCCC or the Secretariat of the United Nations concerning the legal status of any country, territory, city or area or of its authorities, or concerning the delimitation of its frontiers or boundaries as may be referred to in any of the submissions.",not found,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",,kt CO₂ e
103,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,"Report produced on Friday, 18 March 2022 14:23:06 CET",not found,1991,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",,kt CO₂ e
104,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Australia,AUS,1992,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",537446.7581514154,kt CO₂ e
105,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Austria,AUT,1992,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",63530.0435038976,kt CO₂ e
106,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Belarus,BLR,1992,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",88571.34724362072,kt CO₂ e
107,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Belgium,BEL,1992,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",145281.51250865255,kt CO₂ e
108,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Bulgaria,BGR,1992,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",57705.77163515963,kt CO₂ e
109,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Canada,CAN,1992,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",562265.3203269639,kt CO₂ e
110,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Croatia,HRV,1992,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",14945.871439588107,kt CO₂ e
111,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Cyprus,CYP,1992,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",6303.492222701125,kt CO₂ e
112,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Czechia,CZE,1992,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",162037.47994940856,kt CO₂ e
113,Time_Series_GHG_total_with_LULUCF_in_kt_CO₂_equivalent.xlsx,UNFCC,Denmark,DNK,1992,"Time Series - GHG total with LULUCF, in kt CO₂ equivalent",82163.49168945491,kt CO₂ e
